,Status,stoichiometric optimization,Failed to balance,Biomass reactions,atom bag unbalanced rxns,Balance warnings,T-S optimization,Organism
iEC1364_W.sbml,TF applied,250.03703365788803,0.0,0.0,278.0,0.0,2.7400683533440207,Escherichia coli
iECS88_1305.sbml,TF applied,196.35902137294784,1.0,0.0,244.0,0.0,9.44587713359633,Homo sapiens
iECSE_1348.sbml,TF applied,196.35902137294835,1.0,0.0,236.0,0.0,8.50714448591959,Escherichia coli
iS_1188.sbml,TF applied,438.9815627733496,0.0,0.0,227.0,0.0,13.175709042844794,Escherichia coli
iEcolC_1368.sbml,TF applied,196.3590213729493,0.0,0.0,243.0,0.0,7.588200879215787,Methanosarcina barkeri
iJN678.sbml,TF applied,339.5892276337883,1.0,0.0,96.0,0.0,9.786330371539979,Geobacter metallireducens
iAF1260.sbml,TF applied,164.09356066567142,0.0,0.0,170.0,0.0,8.680755555736352,Plasmodium berghei
iEC55989_1330.sbml,TF applied,196.3590213729493,1.0,0.0,236.0,0.0,10.74582280754086,Plasmodium cynomolgi
iEC1372_W3110.sbml,TF applied,188.2456649570553,0.0,0.0,269.0,0.0,8.19989182268982,Plasmodium falciparum
iSbBS512_1146.sbml,TF applied,92.68576876224762,0.0,0.0,222.0,0.0,29.582545101127216,Plasmodium knowlesi
iSFV_1184.sbml,TF applied,92.60505997751872,0.0,0.0,227.0,0.0,18.17601141858238,Plasmodium vivax
iEcHS_1320.sbml,TF applied,196.3590213729489,1.0,0.0,237.0,0.0,3.1392134721609377,Escherichia coli
iEC1368_DH5a.sbml,TF applied,187.0227678925243,0.0,0.0,270.0,0.0,6.726657415705225,Homo sapiens
iEC1349_Crooks.sbml,TF applied,187.0227678925251,0.0,0.0,269.0,0.0,11.542643672926523,Escherichia coli
iECUMN_1333.sbml,TF applied,196.42442717604536,0.0,0.0,233.0,0.0,7.623518407068621,Escherichia coli
iECBD_1354.sbml,TF applied,196.3590213729489,0.0,0.0,237.0,0.0,1.4949683109118022,Escherichia coli
iBWG_1329.sbml,TF applied,196.52717054081268,0.0,0.0,233.0,0.0,2.4556921575788615,Cricetulus griseus
iJO1366.sbml,TF applied,164.66035787754385,0.0,0.0,221.0,0.0,7.238365580605673,Acinetobacter baumannii
iG2583_1286.sbml,TF applied,152.79544567119453,0.0,0.0,228.0,0.0,2.7167254840195403,Clostridioides difficile
iECIAI39_1322.sbml,TF applied,196.88287065411868,1.0,0.0,240.0,0.0,8.507144445551539,Escherichia coli
iECs_1301.sbml,TF applied,196.35902137294812,0.0,0.0,240.0,0.0,10.590477784989705,Escherichia coli
iEcDH1_1363.sbml,TF applied,163.84355230339006,0.0,0.0,233.0,0.0,2.396423805902452,Escherichia coli
iECDH10B_1368.sbml,TF applied,2.284262799866599,0.0,0.0,234.0,0.0,2.2858338112071794,Escherichia coli
iZ_1308.sbml,TF applied,196.35902137294792,0.0,0.0,240.0,0.0,7.22990300821434,Escherichia coli
iECABU_c1320.sbml,TF applied,196.35902137294872,1.0,0.0,245.0,0.0,48.00290879789528,Escherichia coli
iAF1260b.sbml,TF applied,164.0935606656729,0.0,0.0,170.0,0.0,1.3454915266296956,Escherichia coli
iECOK1_1307.sbml,TF applied,196.3590213729484,1.0,0.0,244.0,0.0,0.6423821784042896,Escherichia coli
iUMN146_1321.sbml,TF applied,196.35902137294823,1.0,0.0,244.0,0.0,15.528350957821251,Escherichia coli
iECP_1309.sbml,TF applied,196.35902137294772,0.0,0.0,244.0,0.0,5.381365935670758,Escherichia coli
iEcE24377_1341.sbml,TF applied,196.35902137294883,1.0,0.0,244.0,0.0,10.9377000005283,Escherichia coli
iECED1_1282.sbml,TF applied,196.3590213729489,0.0,0.0,236.0,0.0,7.611809208016963,Escherichia coli
iSSON_1240.sbml,TF applied,92.64523739091392,0.0,0.0,240.0,0.0,9.453149993666969,Escherichia coli
iEcSMS35_1347.sbml,TF applied,196.3590213729492,1.0,0.0,240.0,0.0,5.433108568595597,Escherichia coli
iECO26_1355.sbml,TF applied,196.35902137294812,1.0,0.0,245.0,0.0,12.678807046316823,Escherichia coli
iPC815.sbml,TF applied,10.714285714285714,0.0,0.0,142.0,0.0,7.871321085531699,Escherichia coli
iEKO11_1354.sbml,TF applied,196.35902137294892,1.0,0.0,244.0,0.0,4.232563199918452,Escherichia coli
iECSF_1327.sbml,TF applied,196.5271705408137,0.0,0.0,239.0,0.0,13.202952229234983,Escherichia coli
iUMNK88_1353.sbml,TF applied,245.08334429427651,1.0,0.0,251.0,0.0,35.31836606722222,Escherichia coli
iE2348C_1286.sbml,TF applied,196.3590213729493,0.0,0.0,231.0,0.0,5.477736096135484,Escherichia coli
iWFL_1372.sbml,TF applied,245.0833442942753,1.0,0.0,244.0,0.0,0.018253399711243137,Escherichia coli
iNRG857_1313.sbml,TF applied,245.08334429427524,1.0,0.0,243.0,0.0,8.190195586450841,Escherichia coli
